NO. OF CONSTITUENCY,NAME OF CONSTITUENCY,NAME OF PROVINCE,POPULATION,Party ,Candidates
NA-117,Lahore-1,Punjab,902499,Pakistan Tehreek-e-Insaf,Maqsood Sabir Ansari
NA-117,Lahore-1,Punjab,902499,PPP,Syed Asif Akhtar Hashmi
NA-117,Lahore-1,Punjab,902499,TLP,Saif ur Rehman
NA-117,Lahore-1,Punjab,902499,IPP,Abdul Aleem Khan 
NA-118,Lahore-2,Punjab,965233,Pakistan Tehreek-e-Insaf,Sardar M Hussain Dogar
NA-118,Lahore-2,Punjab,965233,PPP,Shahid Abbas
NA-118,Lahore-2,Punjab,965233,TLP,Abid Hussain
NA-118,Lahore-2,Punjab,965233,PMLN,Muhammad Hamza Shehbaz Sharif
NA-119,Lahore-3,Punjab,916577,Pakistan Tehreek-e-Insaf,Dr. Azeem Zahid Lakhvi
NA-119,Lahore-3,Punjab,916577,PPP,Iftikhar Shahid
NA-119,Lahore-3,Punjab,916577,MQM,Kiran Muhammad Ali
NA-119,Lahore-3,Punjab,916577,TLP,Muhammad Zaheer
NA-119,Lahore-3,Punjab,916577,PMLN,Maryam Nawaz Sharif
NA-120,Lahore-4,Punjab,937239,Pakistan Tehreek-e-Insaf,Sidra Faisal
NA-120,Lahore-4,Punjab,937239,PPP,Munir Ahmad
NA-120,Lahore-4,Punjab,937239,TLP,Rashid Ali
NA-120,Lahore-4,Punjab,937239,PMLN,Sardar Ayaz Sadiq
NA-121,Lahore-5,Punjab,902684,Pakistan Tehreek-e-Insaf,Wasim Qadir
NA-121,Lahore-5,Punjab,902684,PPP,Iftikhar Shahid
NA-121,Lahore-5,Punjab,902684,MQM ,Imran Ashraf
NA-121,Lahore-5,Punjab,902684,TLP,Muhammad Yousaf
NA-121,Lahore-5,Punjab,902684,PMLN ,Sheikh Rohale Asghar
NA-121,Lahore-5,Punjab,902684,Jamaat-e-Islami Pakistan ,Amir Siddiqui
NA-122,Lahore-6,Punjab,953104,Pakistan Tehreek-e-Insaf,Latif Khan Khosa
NA-122,Lahore-6,Punjab,953104,TLP,Muhammad Imtiaz
NA-122,Lahore-6,Punjab,953104,PMLN ,khuwaja Saad Rafique
NA-123,Lahore-7,Punjab,911608,Pakistan Tehreek-e-Insaf,Afzaal Azeem Pahat Advocate
NA-123,Lahore-7,Punjab,911608,PPP,Muhammad Zia Ul Haq
NA-123,Lahore-7,Punjab,911608,TLP,Amjad Naeem
NA-123,Lahore-7,Punjab,911608,PMLN ,Mian Muhammad Shehbaz Sharif
NA-123,Lahore-7,Punjab,911608,Pakistan Awami Thereek,Latif Ahmad Hussain
NA-124,Lahore-8,Punjab,901447,Pakistan Tehreek-e-Insaf,Zameer Jedhu Advocate
NA-124,Lahore-8,Punjab,901447,TLP,Irfan Ali Bhatti
NA-124,Lahore-8,Punjab,901447,PMLN ,Rana Mubashir Iqbal
NA-124,Lahore-8,Punjab,901447,Pakistan Awami Thereek,Mujahid Mahmood
NA-125,Lahore-9,Punjab,899803,Pakistan Tehreek-e-Insaf,Rana Javed Umar
NA-125,Lahore-9,Punjab,899803,PPP,Chaudhry Abdul Ghafoor Khan
NA-125,Lahore-9,Punjab,899803,BAP,Jahanzeb Khan
NA-125,Lahore-9,Punjab,899803,TLP,Khuram Shehzad
NA-125,Lahore-9,Punjab,899803,PMLN ,Muhammad Afzal
NA-125,Lahore-9,Punjab,899803,Pakistan Awami Thereek,Ahmad ikhwan
NA-126,Lahore-10,Punjab,938880,Pakistan Tehreek-e-Insaf,Malik Touqeer Khokhar
NA-126,Lahore-10,Punjab,938880,PPP,Amjad Ali
NA-126,Lahore-10,Punjab,938880,TLP,Muhammad Ahmed Majeed
NA-126,Lahore-10,Punjab,938880,PMLN ,Malik Saif ul Malook Khokhar
NA-127,Lahore-11,Punjab,972875,Pakistan Tehreek-e-Insaf,Zaheer Abbas Khokar
NA-127,Lahore-11,Punjab,972875,PPP,Bilawal Bhutto Zardari
NA-127,Lahore-11,Punjab,972875,TLP,Matloob Ahmed
NA-127,Lahore-11,Punjab,972875,PMLN ,Attaullah Tarar
NA-128,Lahore-12,Punjab,970499,Pakistan Tehreek-e-Insaf,Salman Akram Raja Advocate
NA-128,Lahore-12,Punjab,970499,PPP,Taimoor Tahir
NA-128,Lahore-12,Punjab,970499,MQM ,Agha Muhammad Ali Khan
NA-128,Lahore-12,Punjab,970499,TLP,Asim Irshad Khan
NA-128,Lahore-12,Punjab,970499,Istehkam-e-Pakistan Party,Awn Chaudhry
NA-129,Lahore-13,Punjab,907779,Pakistan Tehreek-e-Insaf,Mian Muhammad Azhar
NA-129,Lahore-13,Punjab,907779,PPP,Aurangzeb Shaafi Burki
NA-129,Lahore-13,Punjab,907779,TLP,Bilal Liaquat
NA-129,Lahore-13,Punjab,907779,PMLN ,Muhammad Numan
NA-130,Lahore-14,Punjab,923908,Pakistan Tehreek-e-Insaf,Dr. Yasmeen Rashid
NA-130,Lahore-14,Punjab,923908,PPP,Iqbal Ahmad Khan
NA-130,Lahore-14,Punjab,923908,TLP,Muhammad Khuram Riaz
NA-130,Lahore-14,Punjab,923908,PMLN ,Muhammad Nawaz Sharif
NA-131,Kasur-1,Punjab,1040674,Pakistan Tehreek-e-Insaf,barrister Taimur Malik
NA-131,Kasur-1,Punjab,1040674,PPP,Chaudhry Manzoor Ahmad
NA-131,Kasur-1,Punjab,1040674,TLP,Hafiz Muneeb Ahmad
NA-131,Kasur-1,Punjab,1040674,PMLN ,Saad Waseem
NA-132,Kasur-2,Punjab,987859,Pakistan Tehreek-e-Insaf,Sardar M Hussain Dogar
NA-132,Kasur-2,Punjab,987859,PPP,Shahoom Safdar
NA-132,Kasur-2,Punjab,987859,TLP,Faqeer Hussain
NA-132,Kasur-2,Punjab,987859,PMLN ,Mian Muhammad Shehbaz Sharif
NA-133,Kasur-3,Punjab,1022019,Pakistan Tehreek-e-Insaf,Dr. Azeem Zahid Lakhvi
NA-133,Kasur-3,Punjab,1022019,PPP,Muhammad Irshad Khan
NA-133,Kasur-3,Punjab,1022019,TLP,Ghulam Murtaza
NA-133,Kasur-3,Punjab,1022019,PMLN ,Rana Muhammad Ishaq Khan
NA-133,Kasur-3,Punjab,1022019,Istehkam-e-Pakistan Party,Hashim Dogra
NA-134,Kasur-4,Punjab,1033734,Pakistan Tehreek-e-Insaf,Sidra Faisal
NA-134,Kasur-4,Punjab,1033734,PPP,Syed Raza Abbas
NA-134,Kasur-4,Punjab,1033734,TLP,Manzoor Ilahi
NA-134,Kasur-4,Punjab,1033734,PMLN ,Rana Muhammad Hayat Khan
NA-135,Okara-1,Punjab,849059,Pakistan Tehreek-e-Insaf,Malik Akram Bhatti
NA-135,Okara-1,Punjab,849059,PPP,Rai Ghulam Mujtaba Kharal
NA-135,Okara-1,Punjab,849059,TLP,Farzand Nasim
NA-135,Okara-1,Punjab,849059,PMLN ,Nadeem Abbas
NA-136,Okara-2,Punjab,900262,Pakistan Tehreek-e-Insaf,Rao Hassan Sikandar
NA-136,Okara-2,Punjab,900262,PPP,Sajjad Ul Hassan
NA-136,Okara-2,Punjab,900262,TLP,Munawar Javaid
NA-136,Okara-2,Punjab,900262,PMLN ,Riaz Ul Haq 
NA-137,Okara-3,Punjab,879120,Pakistan Tehreek-e-Insaf,Syed Raza Ali Gilani
NA-137,Okara-3,Punjab,879120,PPP,Muhammad Yasin
NA-137,Okara-3,Punjab,879120,TLP,Muhammad Anwar
NA-137,Okara-3,Punjab,879120,PMLN ,Rao Muhammad Ajmal Khan
NA-137,Okara-3,Punjab,879120,Pakistan Awami Thereek,Muhammad Rafi
NA-138,Okara-4,Punjab,868895,Pakistan Tehreek-e-Insaf,Mian Arshad Ali Khan Mayo
NA-138,Okara-4,Punjab,868895,PPP,Ahmed Hassan
NA-138,Okara-4,Punjab,868895,TLP,Muhammad Mushtaq Rehmani
NA-138,Okara-4,Punjab,868895,PMLN ,Muhammad Mueen Watto
NA-139,Pakpattan-1,Punjab,1075327,Pakistan Tehreek-e-Insaf,Rao Umar Hashim
NA-139,Pakpattan-1,Punjab,1075327,PPP,Mian Humayun Sarwar Bodla
NA-139,Pakpattan-1,Punjab,1075327,TLP,Ghulam Mohyu Din
NA-139,Pakpattan-1,Punjab,1075327,PMLN ,Ahmad Raza Maneka
NA-139,Pakpattan-1,Punjab,1075327,Jamaat-e-Islami Pakistan ,Shaukat Ali Bhatti
NA-140,Pakpattan-2,Punjab,1060843,Pakistan Tehreek-e-Insaf,Raja Talia Saeed
NA-140,Pakpattan-2,Punjab,1060843,PPP,Shaukat Ali Bajwa
NA-140,Pakpattan-2,Punjab,1060843,TLP,Waseem Zafar
NA-140,Pakpattan-2,Punjab,1060843,PMLN ,Rana Iradat Sharif Khan
NA-141,Sahiwal-1,Punjab,1005822,Pakistan Tehreek-e-Insaf,Rana Aamir Shahzad
NA-141,Sahiwal-1,Punjab,1005822,PPP,Muhammad Zaki
NA-141,Sahiwal-1,Punjab,1005822,TLP,Abdul Qadir
NA-141,Sahiwal-1,Punjab,1005822,PMLN ,Syed Imran Ahmad Shah
NA-141,Sahiwal-1,Punjab,1005822,Jamaat-e-Islami Pakistan ,Muhammad Rehmat Ullah
NA-142,Sahiwal-2,Punjab,966654,Pakistan Tehreek-e-Insaf,Muhammad Usman
NA-142,Sahiwal-2,Punjab,966654,PPP,Ghulam Farid Kathia
NA-142,Sahiwal-2,Punjab,966654,TLP,Rai Munsif Shabbir Ahmad
NA-142,Sahiwal-2,Punjab,966654,PMLN ,Ch Muhammad Ashraf
NA-143,Sahiwal-3,Punjab,927489,Pakistan Tehreek-e-Insaf,Rai Hassan Nawaz Khan
NA-143,Sahiwal-3,Punjab,927489,PPP,Ali Javed
NA-143,Sahiwal-3,Punjab,927489,TLP,Majid Hussain
NA-143,Sahiwal-3,Punjab,927489,Pakistan Awami Thereek,Salwat Shahzad Aziz
NA-143,Sahiwal-3,Punjab,927489,Istehkam-e-Pakistan Party,Malik Nauman Langriyal
NA-144,Khanewal-1,Punjab,860091,Pakistan Tehreek-e-Insaf,Shahbaz Ahmad Khan
NA-144,Khanewal-1,Punjab,860091,PPP,Muhammad Zaman
NA-144,Khanewal-1,Punjab,860091,TLP,Muhammad Mushtaq 
NA-144,Khanewal-1,Punjab,860091,PMLN ,Syed Muhammad Mukhtar Hussain
NA-145,Khanewal-2,Punjab,815060,Pakistan Tehreek-e-Insaf,Abid Mehmood Khagga
NA-145,Khanewal-2,Punjab,815060,PPP,Rana Abdul Rehman Khan
NA-145,Khanewal-2,Punjab,815060,TLP,Muhammad Wakeel
NA-145,Khanewal-2,Punjab,815060,PMLN ,Muhammad Khan Daha
NA-146,Khanewal-3,Punjab,872581,Pakistan Tehreek-e-Insaf,Imran Shah Khagga
NA-146,Khanewal-3,Punjab,872581,PPP,Shahid Bashir
NA-146,Khanewal-3,Punjab,872581,TLP,Hafiz Muhammad Imran Siddiq
NA-146,Khanewal-3,Punjab,872581,PMLN ,Pir Muhammad Aslam Bodla Siddiqui
NA-146,Khanewal-3,Punjab,872581,Pakistan Awami Thereek,Mian Noor Ahmad
NA-147,Khanewal-4,Punjab,816345,Pakistan Tehreek-e-Insaf,Mian Naveed Jahania
NA-147,Khanewal-4,Punjab,816345,TLP,Gulam Abbas
NA-147,Khanewal-4,Punjab,816345,PMLN ,Choudhary Iftikhar Nazir
NA-147,Khanewal-4,Punjab,816345,Istehkam-e-Pakistan Party,Mohammad Ayaz Khan Niazi 
NA-148,Mulatn-1,Punjab,910134,Pakistan Tehreek-e-Insaf,Barrister Taimur Malik
NA-148,Mulatn-1,Punjab,910134,PPP,Syed Yousaf Raza Gilani
NA-148,Mulatn-1,Punjab,910134,TLP,Malik Azhar Ahmed Sandila
NA-148,Mulatn-1,Punjab,910134,PMLN ,Ahmad Hussain
NA-148,Mulatn-1,Punjab,910134,PMLQ ,Aneela Iftikhar
NA-149,Mulatn-2,Punjab,907757,Pakistan Tehreek-e-Insaf,Malik Amir Dogar
